ObjectID,GlobalID,Transect Meter Mark,Direction To Group,Distance To Group,Number Seedlings In Group,Number Vegetative In Group,Number Reproductive In Group,siteName,distBetweenTransects,eventDate,recordedBy,transectNumber_,transectOrientation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
25,cd269eab-61b0-4e43-af34-e151aed0dc3f,6.54,-,0.71,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328294333333,38.6700645
26,b756e6d2-7a44-47dd-a73c-708ded4219c6,8.1,+,0.67,,1,,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328294833333,38.6700895
27,9189e185-139c-45a5-b4d5-e02db6785304,15.2,-,1.62,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328322333333,38.6701498333333
28,e1a7bf14-1a24-40b3-a964-88d9c210f17b,267,+,19.72,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328255833333,38.6701943333333
29,a4a40568-3f6d-4a76-aa6b-708afea446aa,21.3,+,101,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328269333333,38.6701993333333
30,75c21d53-28ae-481d-b7cf-f65fceba1016,22.1,+,0.67,,,2,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328278666667,38.6702041666667
31,48c17157-328e-4acd-8399-9177f4528e3e,22.57,+,1.53,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328272833333,38.6702191666667
32,f041ac6d-2b93-4eea-b62d-e124a5dcd77e,22.88,+,0.71,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328276166667,38.6702205
33,227e202d-1903-4c00-abc6-7331df2e3761,23.67,+,0.9,,1,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328276166667,38.6702338333333
34,a386b816-da85-449f-99ec-e0c51bc69a1f,24.47,-,0.21,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328275,38.670234
